time_local,city,temp_c,humidity,pressure,weather,wind_speed,air_pm2_5,air_pm10,air_co,air_no2,air_o3,air_aqi,uv_index
2026-08-01 01:16:11 AM BDT,"Dhaka, BD",26.55,88,1004,overcast clouds,3.19,9.28,13.45,135.3,3.05,38.13,1,0
2026-08-01 02:58:43 AM BDT,"Dhaka, BD",26.16,89,1003,overcast clouds,2.96,8.29,10.71,125.1,2.97,34.47,1,0
2026-08-01 04:08:37 AM BDT,"Dhaka, BD",26.06,90,1002,overcast clouds,2.78,7.43,9.16,123.36,3.11,32.37,1,0
2026-08-01 05:56:42 AM BDT,"Dhaka, BD",26.16,89,1003,overcast clouds,2.44,6.14,7.24,129.85,3.77,27.43,1,0.0972
2026-08-01 08:41:39 AM BDT,"Dhaka, BD",29.47,73,1004,broken clouds,3.35,5.27,7.19,145.08,4.03,22.59,1,5.0268
2026-08-01 11:50:11 AM BDT,"Dhaka, BD",33.45,57,1002,light rain,4.28,5.15,7.06,137.89,2.67,30.03,1,13.8846
2026-08-01 02:11:32 PM BDT,"Dhaka, BD",32.91,61,1001,light rain,5.5,5.34,6.83,129.07,1.93,37.71,1,9.5092
2026-08-01 04:36:29 PM BDT,"Dhaka, BD",31.3,68,1000,light rain,5.87,4.65,5.71,116.03,2,39.18,1,1.7696
2026-08-01 05:58:52 PM BDT,"Dhaka, BD",30.44,73,1000,overcast clouds,6.21,4.76,5.89,114.83,2.39,38.15,1,0.1847
2026-08-01 07:37:28 PM BDT,"Dhaka, BD",28.81,79,1003,broken clouds,4.57,6.54,8.72,118.16,2.42,35.5,1,0
2026-08-01 08:54:57 PM BDT,"Dhaka, BD",28.62,80,1003,moderate rain,4.04,7.75,10.95,120.18,2.33,36.45,1,0
2026-08-01 09:56:42 PM BDT,"Dhaka, BD",28.06,83,1004,light rain,3.95,8.84,12.92,121.54,2.27,37.24,1,0
2026-08-01 10:57:47 PM BDT,"Dhaka, BD",27.93,84,1004,light rain,4.24,9.72,14.34,122.41,2.3,37.49,1,0
2026-08-02 12:01:48 AM BDT,"Dhaka, BD",27.81,84,1003,overcast clouds,4.18,10.28,15.04,120.32,2.3,37.07,2,0
2026-08-02 02:06:52 AM BDT,"Dhaka, BD",27.29,86,1003,overcast clouds,4.3,10.56,15.62,113.63,2.08,35.62,2,0
